Country.name;Regional.indicator;Ladder.score;Standard.error.of.ladder.score;upperwhisker;lowerwhisker;Logged.GDP.per.capita;Social.support;Healthy.life.expectancy;Freedom.to.make.life.choices;Generosity;Perceptions.of.corruption;Dystopia
Ivory Coast;Sub-Saharan Africa;5306;78;5460;5152;8551;644;50114;741;-16;794;3469
Armenia;Commonwealth of Independent States;5283;58;5397;5168;9487;799;67055;825;-168;629;2127
Nepal;South Asia;5269;70;5406;5132;8120;774;64233;782;152;727;2642
Bulgaria;Central and Eastern Europe;5266;54;5371;5160;10016;931;67000;788;-96;932;1823
Maldives;South Asia;5198;72;5339;5057;9826;913;70600;854;24;825;1520
Azerbaijan;Commonwealth of Independent States;5171;40;5250;5091;9569;836;65656;814;-223;506;1919
Cameroon;Sub-Saharan Africa;5142;74;5288;4996;8189;710;53515;731;26;848;3195
Senegal;Sub-Saharan Africa;5132;68;5266;4998;8118;710;59802;695;-46;801;3071
Albania;Central and Eastern Europe;5117;59;5234;5001;9520;697;68999;785;-30;901;2250
North Macedonia;Central and Eastern Europe;5101;51;5202;5001;9693;805;65474;751;38;905;2042
Ghana;Sub-Saharan Africa;5088;67;5219;4958;8580;727;57586;807;123;848;2684
Niger;Sub-Saharan Africa;5074;102;5273;4875;7098;641;53780;806;18;693;3470
Turkmenistan;Commonwealth of Independent States;5066;36;5136;4996;9629;983;62409;877;273;888;1409
Gambia;Sub-Saharan Africa;5051;89;5225;4877;7686;690;55160;697;424;746;2990
Benin;Sub-Saharan Africa;5045;73;5189;4901;8087;489;54713;757;-34;661;3482
Laos;Southeast Asia;5030;45;5119;4941;8947;728;58968;910;123;658;2204
Bangladesh;South Asia;5025;46;5115;4934;8454;693;64800;877;-41;682;2427
Guinea;Sub-Saharan Africa;4984;90;5160;4808;7838;639;55008;697;95;766;3216
South Africa;Sub-Saharan Africa;4956;60;5074;4839;9403;860;56904;749;-67;860;2187
Turkey;Middle East and North Africa;4948;46;5038;4857;10240;822;67199;576;-139;776;1852
Pakistan;South Asia;4934;68;5066;4802;8458;651;58709;726;98;787;2784
Morocco;Middle East and North Africa;4918;60;5036;4800;8903;560;66208;774;-236;801;2749
Venezuela;Latin America and Caribbean;4892;64;5017;4767;9073;861;66700;615;-169;827;2135
Georgia;Commonwealth of Independent States;4891;54;4998;4785;9585;671;64300;783;-238;655;2191
Algeria;Middle East and North Africa;4887;53;4991;4783;9342;802;66005;480;-67;752;2242
Ukraine;Commonwealth of Independent States;4875;52;4977;4773;9436;888;64902;724;-11;924;1813
Iraq;Middle East and North Africa;4854;59;4970;4738;9240;746;60583;630;-53;875;2429
Gabon;Sub-Saharan Africa;4852;75;4998;4706;9603;776;59962;731;-200;840;2201
Burkina Faso;Sub-Saharan Africa;4834;81;4993;4675;7678;672;54151;695;-9;748;3133
Cambodia;Southeast Asia;4830;67;4963;4698;8360;765;62000;959;34;843;2148
Mozambique;Sub-Saharan Africa;4794;103;4997;4592;7158;744;54706;882;61;684;2783
Nigeria;Sub-Saharan Africa;4759;52;4861;4658;8533;740;50102;737;37;878;2736
Mali;Sub-Saharan Africa;4723;82;4884;4563;7744;724;51969;697;-36;827;3016
Iran;Middle East and North Africa;4721;55;4828;4614;9584;710;66300;608;218;714;1823
Uganda;Sub-Saharan Africa;4636;73;4780;4493;7677;781;56101;709;122;855;2596
Liberia;Sub-Saharan Africa;4625;106;4833;4417;7288;720;56498;735;50;850;2857
Kenya;Sub-Saharan Africa;4607;72;4747;4466;8361;688;60704;779;287;825;2180
Tunisia;Middle East and North Africa;4596;58;4709;4484;9266;691;67201;656;-201;870;2138
Lebanon;Middle East and North Africa;4584;55;4691;4477;9626;848;67355;525;-73;898;1736
Namibia;Sub-Saharan Africa;4574;64;4700;4448;9161;818;56799;719;-149;847;2068
Palestinian Territories;Middle East and North Africa;4517;67;4649;4384;8485;826;62250;653;-163;821;2131
Myanmar;Southeast Asia;4426;52;4527;4324;8541;779;59302;876;509;660;1407
Jordan;Middle East and North Africa;4395;62;4516;4273;9182;767;67000;755;-167;705;1553
Chad;Sub-Saharan Africa;4355;94;4540;4171;7364;619;48478;579;41;807;3209
Sri Lanka;South Asia;4325;66;4454;4196;9470;827;67299;841;79;863;1075
Swaziland;Sub-Saharan Africa;4308;71;4448;4168;9065;770;50833;647;-185;708;2155
Comoros;Sub-Saharan Africa;4289;84;4454;4123;8031;626;57349;548;82;781;2610
Egypt;Middle East and North Africa;4283;45;4371;4195;9367;750;61998;749;-182;795;1648
Ethiopia;Sub-Saharan Africa;4275;51;4374;4175;7694;764;59000;752;82;761;2089
Mauritania;Sub-Saharan Africa;4227;70;4365;4090;8542;795;57161;561;-106;731;2069
Madagascar;Sub-Saharan Africa;4208;72;4349;4068;7396;686;59305;552;-5;803;2620
Togo;Sub-Saharan Africa;4107;77;4258;3956;7362;569;54914;619;32;772;2806
Zambia;Sub-Saharan Africa;4073;69;4209;3938;8145;708;55809;782;61;823;1975
Sierra Leone;Sub-Saharan Africa;3849;77;4001;3698;7434;630;51651;717;84;866;2396
India;South Asia;3819;26;3869;3769;8755;603;60633;893;89;774;1405
Burundi;Sub-Saharan Africa;3775;107;3985;3565;6635;490;53400;626;-24;607;2876
Yemen;Middle East and North Africa;3658;70;3794;3521;7578;832;57122;602;-147;800;1776
Tanzania;Sub-Saharan Africa;3623;71;3762;3485;7876;702;57999;833;183;577;1263
Haiti;Latin America and Caribbean;3615;173;3953;3276;7477;540;55700;593;422;721;2060
Malawi;Sub-Saharan Africa;3600;92;3781;3419;6958;537;57948;780;38;729;2190
Lesotho;Sub-Saharan Africa;3512;120;3748;3276;7926;787;48700;715;-131;915;1800
Botswana;Sub-Saharan Africa;3467;74;3611;3322;9782;784;59269;824;-246;801;648
Rwanda;Sub-Saharan Africa;3415;68;3548;3282;7676;552;61400;897;61;167;1095
Zimbabwe;Sub-Saharan Africa;3145;58;3259;3030;7943;750;56201;677;-47;821;1205
Afghanistan;South Asia;2523;38;2596;2449;7695;463;52493;382;-102;924;1895
